Method,MSD
Raw Data,0.19839029779163764
Bayesian Single using Old chains,0.03996395213346578
Bayesian Single using Old chains,0.04152075814464969
Bayesian Single using Old chains,0.04043484149414773
Bayesian Single using Old chains,0.040829723062781494
Bayesian Single using Old chains,0.04196451801209147
Bayesian Single using Old chains,0.04171218205625221
Bayesian Single using Old chains,0.04002488172687524
Bayesian Single using Old chains,0.040326533878606574
Bayesian Single using Old chains,0.04109304855320704
Bayesian Single using Old chains,0.04073855002005666
Bayesian Single using Old chains,0.0409503606423287
Bayesian Single using Old chains,0.041378330519789154
Bayesian Single using Old chains,0.041621749754934226
Bayesian Single using Old chains,0.04141743855922525
Bayesian Single using Old chains,0.0401435692671934
Bayesian Single using Old chains,0.04079434349080404
Bayesian Single using Old chains,0.04294865354583117
Bayesian Single using Old chains,0.04285386937144127
Bayesian Single using Old chains,0.040103014319712325
Bayesian Single using Old chains,0.04046616109419782
Bayesian Single using Old chains,0.04492517929783766
Bayesian Single using Old chains,0.04058260916885218
Bayesian Single using Old chains,0.04065979464474743
Bayesian Single using Old chains,0.040805530469623
Bayesian Single using Old chains,0.04055471065228667
Bayesian Single using Old chains,0.040877875465867616
Bayesian Single using Old chains,0.040639904383331975
Bayesian Single using Old chains,0.04110173441038129
Bayesian Single using Old chains,0.04002836544986778
Bayesian Single using Old chains,0.04070579908309255
Bayesian Single using Old chains,0.04023248249916917
Bayesian Single using Old chains,0.041806544454659415
Bayesian Single using Old chains,0.041029205033152084
Bayesian Single using Old chains,0.041224302530600866
Bayesian Single using Old chains,0.0415063998895116
Bayesian Single using Old chains,0.040098473454563556
Bayesian Single using Old chains,0.04030358802416749
Bayesian Single using Old chains,0.040644319465600924
Bayesian Single using Old chains,0.040060593154479074
Bayesian Single using Old chains,0.04358084705134589
Bayesian Single using Old chains,0.04235254934822784
Bayesian Single using Old chains,0.04043895266063062
Bayesian Single using Old chains,0.04127090786572659
Bayesian Single using Old chains,0.04230004440340484
Bayesian Single using Old chains,0.040135767726033535
Bayesian Single using Old chains,0.040672186594646956
Bayesian Single using Old chains,0.040782068380076385
Bayesian Single using Old chains,0.04039594680922532
Bayesian Single using Old chains,0.04063840325178767
Bayesian Single using Old chains,0.04058911042794997
Bayesian Single using Old chains,0.04502054758814287
Bayesian Single using Old chains,0.04002775277943998
Bayesian Single using Old chains,0.04052180045014386
Bayesian Single using Old chains,0.04018241513926878
Bayesian Single using Old chains,0.041686229776166796
Bayesian Single using Old chains,0.0401430914766638
Bayesian Single using Old chains,0.04005981801421746
Bayesian Single using Old chains,0.0400326416137849
Bayesian Single using Old chains,0.04001547365289078
Bayesian Single using Old chains,0.040025977917368116
Bayesian Single using Old chains,0.04034312771454576
Bayesian Single using Old chains,0.040483806965153635
Bayesian Single using Old chains,0.04013222693083787
Bayesian Single using Old chains,0.043465575531077
Bayesian Single using Old chains,0.040539407837457075
Bayesian Single using Old chains,0.04050583087862856
Bayesian Single using Old chains,0.04135894697534039
Bayesian Single using Old chains,0.04140915262834633
Bayesian Single using Old chains,0.04211707949220991
Bayesian Single using Old chains,0.04020399921581113
Bayesian Single using Old chains,0.04071710414511209
Bayesian Single using Old chains,0.04008713606713277
Bayesian Single using Old chains,0.0412478859988598
Bayesian Single using Old chains,0.04133856414430506
Bayesian Single using Old chains,0.040118001548724226
Bayesian Single using Old chains,0.04170006828510812
Bayesian Single using Old chains,0.03998754996743739
Bayesian Single using Old chains,0.0402365172392129
Bayesian Single using Old chains,0.0416764780267093
Bayesian Single using Old chains,0.04096664485585869
Bayesian Single using Old chains,0.04284583707923835
Bayesian Single using Old chains,0.0401258308006876
Bayesian Single using Old chains,0.04085246072966731
Bayesian Single using Old chains,0.0400496544236044
Bayesian Single using Old chains,0.04000441205850782
Bayesian Single using Old chains,0.041302155700648394
Bayesian Single using Old chains,0.04088605438901363
Bayesian Single using Old chains,0.0409825936501115
Bayesian Single using Old chains,0.0410698965708266
Bayesian Single using Old chains,0.04034730124118321
Bayesian Single using Old chains,0.04109289455406725
