time in hours,time in minutes,Area with noise,Area1 with noise
0,0,258.944684,229.2751247
0.05,3,278.2463753,246.345685
0.1,6,307.5996402,292.5153323
0.15,9,323.7092505,301.0077865
0.2,12,267.4876627,294.5429756
0.25,15,297.5461144,310.6763034
0.3,18,365.0872125,360.8027673
0.35,21,387.5780304,315.2648162
0.4,24,412.2545765,370.3872657
0.45,27,576.652934,360.8773016
0.5,30,467.7275113,377.859589
0.55,33,522.8566777,447.3637762
0.6,36,544.9316477,455.4188183
0.65,39,561.6096789,475.0001337
0.7,42,538.2887327,522.0396676
0.75,45,627.398068,486.1763552
0.8,48,563.717535,544.9486091
0.85,51,623.2710424,519.751092
0.9,54,635.3773028,580.4650316
0.95,57,702.6733287,583.4773288
1,60,892.6336452,628.8631143
1.05,63,615.7499544,696.6189346
1.1,66,844.7884762,635.6714221
1.15,69,692.6017542,884.7449998
1.2,72,818.9272016,692.7416158
1.25,75,990.9015963,713.4531157
1.3,78,935.6759741,960.7356526
1.35,81,860.6771751,982.3467413
1.4,84,930.6786184,1020.697549
1.45,87,1111.053062,1077.83165
1.5,90,1000.577832,1067.56621
1.55,93,1142.881175,1021.232547
1.6,96,1171.0407,1186.752564
1.65,99,1135.93423,1149.636361
1.7,102,1534.241888,1418.924396
1.75,105,1400.483582,1332.422329
1.8,108,1091.607046,1303.280044
1.85,111,1450.599584,1441.325774
1.9,114,1376.724749,1624.388921
1.95,117,1651.4297,1545.512392
2,120,1447.905646,1573.164031
2.05,123,1610.587466,1839.021818
2.1,126,1775.071744,1933.260202
2.15,129,1904.505235,1874.97578
2.2,132,1599.376138,1971.169613
2.25,135,1815.337286,2218.63185
2.3,138,1846.207869,1947.919136
2.35,141,1868.540929,2049.313096
2.4,144,2434.549946,2310.126561
2.45,147,2231.823801,2546.148138
2.5,150,1934.899724,2806.840301
2.55,153,2498.995114,3271.24753
2.6,156,2867.19916,3244.640696
2.65,159,2693.273007,3077.342805
2.7,162,2141.742333,3269.150169
2.75,165,2494.414395,3089.292093
2.8,168,3074.688735,3586.213994
2.85,171,2634.914523,3669.708051
2.9,174,3075.877162,4107.651793
2.95,177,3300.316206,3831.390389
3,180,2899.05887,4620.368927
3.05,183,3309.95534,5312.897693
3.1,186,2344.839313,4789.587847
3.15,189,3235.893851,5310.438638
3.2,192,3641.572548,5741.194941
3.25,195,3397.491971,5436.530021
3.3,198,4711.038554,6112.823962
3.35,201,3621.282673,6332.179158
3.4,204,4227.417005,6787.284212
3.45,207,4693.364145,6584.959058
3.5,210,5544.246657,7578.069521
3.55,213,4345.877433,8384.337336
3.6,216,5957.467543,9639.777622
3.65,219,5617.607261,9721.358528
3.7,222,5344.347051,11368.87417
3.75,225,6499.915067,9113.907868
3.8,228,6658.527658,11348.56255
3.85,231,6450.205172,11237.6322
3.9,234,7257.186157,14273.33748
3.95,237,7279.413284,11408.35879
4,240,8001.47222,12134.55521
4.05,243,8811.62381,13305.86276
4.1,246,10013.98273,11877.86714
4.15,249,7953.36586,15173.23615
4.2,252,11550.09373,15730.77547
4.25,255,8018.096091,18348.40868
4.3,258,10256.57276,19881.60203
4.35,261,11558.05652,24301.84342
4.4,264,11774.33578,23835.53963
4.45,267,11252.16938,21760.43353
4.5,270,12329.13766,22202.13719
4.55,273,12564.95044,26999.20143
4.6,276,13090.03124,23612.94751
4.65,279,15852.70631,34039.70255
4.7,282,15882.62954,33896.41876
4.75,285,14964.71223,30465.6874
4.8,288,18304.84172,27952.15996
4.85,291,18098.73372,40312.82998
4.9,294,19869.26023,36959.54935
4.95,297,20444.38925,44246.97027
