Method,MSD
Raw Data,0.00506738187865112
Bayesian (Mean),0.004667840269664206
Bayesian (Cloud),0.004717090749181683
MA-3,0.008123857592237235
MA-5,0.01007126252364642
MA-7,0.011974991026139834
MA-9,0.013609302583158374
MA-11,0.01510909346897621
MA-13,0.01639853895195699
MA-15,0.01757518516870643
MA-25,0.02345626241476186
MA-50,0.03234361508052698
MA-75,0.03551913583253742
MA-100,0.03977711787930251
MA-500,0.07741128384674134
MA-1000,0.12307679394103048
Raw Data,0.00482274911188783
Bayesian (Mean),0.0044792218191778595
Bayesian (Cloud),0.004526179509116882
MA-3,0.008155005720869087
MA-5,0.010629112615473795
MA-7,0.01241189288618331
MA-9,0.013924995560783034
MA-11,0.015318177328501596
MA-13,0.016583280085805733
MA-15,0.017752886162643238
MA-25,0.0228213270061878
MA-50,0.032293508847205915
MA-75,0.03831525210004158
MA-100,0.04288695675012847
MA-500,0.07418733538943699
MA-1000,0.07775851515904657
Raw Data,0.004992918169532864
Bayesian (Mean),0.004599948788607509
Bayesian (Cloud),0.004643809260166254
MA-3,0.008342136461999
MA-5,0.010580207792049727
MA-7,0.012677417300148614
MA-9,0.014299982449343081
MA-11,0.015603944152445244
MA-13,0.01679662069138907
MA-15,0.017970521384996777
MA-25,0.023501810816374286
MA-50,0.031608404190180205
MA-75,0.03732536926182392
MA-100,0.04311650621114347
MA-500,0.08105693278272907
MA-1000,0.12949611711080358
Raw Data,0.004957795542318333
Bayesian (Mean),0.004613244659393221
Bayesian (Cloud),0.004671025620125729
MA-3,0.008078946160044767
MA-5,0.010477308096029158
MA-7,0.012340473625378079
MA-9,0.013949443341560976
MA-11,0.015436704102099871
MA-13,0.016926069524491456
MA-15,0.01843425075034321
MA-25,0.023812944077573762
MA-50,0.03029569303803841
MA-75,0.03614105544429323
MA-100,0.04196865168519512
MA-500,0.1182295393301938
MA-1000,0.15043213932524832
Raw Data,0.004850861528476956
Bayesian (Mean),0.004485150183415645
Bayesian (Cloud),0.004549891538246096
MA-3,0.00814750261056359
MA-5,0.01030729183778711
MA-7,0.012073509732452936
MA-9,0.013534277438895828
MA-11,0.014966439812489565
MA-13,0.0162976946393973
MA-15,0.017635770707693215
MA-25,0.023559276111604063
MA-50,0.032058871981015556
MA-75,0.040259366677922244
MA-100,0.04959840595783356
MA-500,0.0975342778854115
MA-1000,0.15336311516849896
Raw Data,0.004985945513655895
Bayesian (Mean),0.0047375167003995714
Bayesian (Cloud),0.004785048915359226
MA-3,0.008217876525377572
MA-5,0.010515771759784713
MA-7,0.01234026277678366
MA-9,0.01385765578197834
MA-11,0.015120220782420831
MA-13,0.016437098114816036
MA-15,0.017785754863670566
MA-25,0.024165479323744618
MA-50,0.032194730867774184
MA-75,0.038186984696713853
MA-100,0.04440341278798521
MA-500,0.10229758085944074
MA-1000,0.11402013615953553
Raw Data,0.005017258263630098
Bayesian (Mean),0.004650513557199474
Bayesian (Cloud),0.004699855863139088
MA-3,0.007896358573346144
MA-5,0.010172918967285012
MA-7,0.012077903703894662
MA-9,0.013771299244517966
MA-11,0.015215057210469219
MA-13,0.016547007732062365
MA-15,0.017791920534069024
MA-25,0.023120472857171948
MA-50,0.035792808580939146
MA-75,0.04718598544708884
MA-100,0.05338921919004348
MA-500,0.08232856311523958
MA-1000,0.13972789675178782
Raw Data,0.005141765584217572
Bayesian (Mean),0.004749440130940677
Bayesian (Cloud),0.004795721138639548
MA-3,0.00806529464090728
MA-5,0.010196852215596856
MA-7,0.011502337976139617
MA-9,0.012911335318265903
MA-11,0.01447595801957622
MA-13,0.016107097032977427
MA-15,0.01768354718912392
MA-25,0.023580477447010542
MA-50,0.033540534230619264
MA-75,0.041590325019533664
MA-100,0.05121134533731443
MA-500,0.121733901407454
MA-1000,0.1125323138269956
Raw Data,0.005142431125974858
Bayesian (Mean),0.004806589678238435
Bayesian (Cloud),0.004855692595681706
MA-3,0.008175403294010347
MA-5,0.01086121166417511
MA-7,0.012739848932586926
MA-9,0.01438176320982469
MA-11,0.01595817088633451
MA-13,0.017429243264951294
MA-15,0.018789408743190048
MA-25,0.02384399079714009
MA-50,0.033320087604803934
MA-75,0.04269525731915657
MA-100,0.05239906177474846
MA-500,0.11443277744951252
MA-1000,0.1286341055516713
Raw Data,0.0050588021497137
Bayesian (Mean),0.004686939245464192
Bayesian (Cloud),0.004727640586536595
MA-3,0.008424360518981367
MA-5,0.010535563777643565
MA-7,0.012386057958367903
MA-9,0.014154626034635931
MA-11,0.0156959020895622
MA-13,0.01712377501657102
MA-15,0.01834184321042765
MA-25,0.023310078756975536
MA-50,0.03312254049565676
MA-75,0.04355653613506313
MA-100,0.052081721151075115
MA-500,0.09144339105242791
MA-1000,0.12726380039692392
