Method,MSD
Raw Data,0.004849883752866673
Bayesian,0.004496487723112955
MA-3,0.019516932152365666
MA-5,0.02590571541158911
MA-7,0.030715098106065156
MA-15,0.04476754213470896
MA-50,0.08288111854325318
MA-75,0.10305032707685459
MA-100,0.11945462440216457
MA-150,0.14476092961426673
MA-1000,0.35051365527874806
Raw Data,0.0050721586753184325
Bayesian,0.004711327330897839
MA-3,0.019917519336955194
MA-5,0.02645784718019966
MA-7,0.03134378915190806
MA-15,0.04615481184235939
MA-50,0.08488286105371776
MA-75,0.10384730088865092
MA-100,0.12172386568268427
MA-150,0.15198009791995631
MA-1000,0.3742208852000056
Raw Data,0.004868797564602798
Bayesian,0.004586710239817253
MA-3,0.015970470434685326
MA-5,0.0211535483349521
MA-7,0.024976150901343887
MA-15,0.03642298964815902
MA-50,0.06876822759348605
MA-75,0.08348658102426519
MA-100,0.09647979517388579
MA-150,0.11930543310470239
MA-1000,0.2832894628142157
Raw Data,0.005169612183507635
Bayesian,0.004782207204810431
MA-3,0.01924885823906136
MA-5,0.025850643493663818
MA-7,0.03072863404581408
MA-15,0.044707858784217104
MA-50,0.08432204903692017
MA-75,0.10416323138677103
MA-100,0.12142429475113904
MA-150,0.14701710468458898
MA-1000,0.3034345313105865
Raw Data,0.005000846074603063
Bayesian,0.004591295900878603
MA-3,0.01467922979246236
MA-5,0.01946463678984733
MA-7,0.02304411565622065
MA-15,0.03448776810496579
MA-50,0.06278397022228152
MA-75,0.0748577460404877
MA-100,0.084677660676318
MA-150,0.10498969326179569
MA-1000,0.2561880600326139
